INFO:root:Start SimCLR training for 200 epochs.
INFO:root:kmer_len:	136

DEBUG:root:Epoch: 0	Loss: 6.778435707092285	Top1 accuracy: 1.455078125
DEBUG:root:Epoch: 1	Loss: 5.825512886047363	Top1 accuracy: 6.793619632720947
DEBUG:root:Epoch: 2	Loss: 5.349753379821777	Top1 accuracy: 21.884765625
DEBUG:root:Epoch: 3	Loss: 4.86178731918335	Top1 accuracy: 41.891273498535156
DEBUG:root:Epoch: 4	Loss: 4.548414707183838	Top1 accuracy: 54.462890625
DEBUG:root:Epoch: 5	Loss: 4.207109451293945	Top1 accuracy: 66.083984375
DEBUG:root:Epoch: 6	Loss: 4.049522399902344	Top1 accuracy: 71.54947662353516
DEBUG:root:Epoch: 7	Loss: 3.944610118865967	Top1 accuracy: 74.20572662353516
DEBUG:root:Epoch: 8	Loss: 3.856290340423584	Top1 accuracy: 76.34765625
DEBUG:root:Epoch: 9	Loss: 3.7802774906158447	Top1 accuracy: 77.744140625
DEBUG:root:Epoch: 10	Loss: 3.655977964401245	Top1 accuracy: 83.232421875
DEBUG:root:Epoch: 11	Loss: 3.608786106109619	Top1 accuracy: 83.388671875
DEBUG:root:Epoch: 12	Loss: 3.5801565647125244	Top1 accuracy: 84.19596099853516
DEBUG:root:Epoch: 13	Loss: 3.508558511734009	Top1 accuracy: 86.66340637207031
DEBUG:root:Epoch: 14	Loss: 3.504478931427002	Top1 accuracy: 86.875
DEBUG:root:Epoch: 15	Loss: 3.4037024974823	Top1 accuracy: 89.85676574707031
DEBUG:root:Epoch: 16	Loss: 3.4180705547332764	Top1 accuracy: 87.68228912353516
DEBUG:root:Epoch: 17	Loss: 3.367500066757202	Top1 accuracy: 89.31640625
DEBUG:root:Epoch: 18	Loss: 3.3630211353302	Top1 accuracy: 89.02668762207031
DEBUG:root:Epoch: 19	Loss: 3.349043369293213	Top1 accuracy: 90.078125
DEBUG:root:Epoch: 20	Loss: 3.339404821395874	Top1 accuracy: 89.66471099853516
DEBUG:root:Epoch: 21	Loss: 3.2895894050598145	Top1 accuracy: 90.75520324707031
DEBUG:root:Epoch: 22	Loss: 3.275824785232544	Top1 accuracy: 91.25650787353516
DEBUG:root:Epoch: 23	Loss: 3.2985994815826416	Top1 accuracy: 90.283203125
DEBUG:root:Epoch: 24	Loss: 3.2943122386932373	Top1 accuracy: 90.56314849853516
DEBUG:root:Epoch: 25	Loss: 3.2764241695404053	Top1 accuracy: 91.025390625
DEBUG:root:Epoch: 26	Loss: 3.250046968460083	Top1 accuracy: 92.001953125
DEBUG:root:Epoch: 27	Loss: 3.2462732791900635	Top1 accuracy: 92.001953125
DEBUG:root:Epoch: 28	Loss: 3.2266836166381836	Top1 accuracy: 92.09635162353516
DEBUG:root:Epoch: 29	Loss: 3.212144136428833	Top1 accuracy: 93.06314849853516
DEBUG:root:Epoch: 30	Loss: 3.217014789581299	Top1 accuracy: 92.236328125
DEBUG:root:Epoch: 31	Loss: 3.222120523452759	Top1 accuracy: 92.02799224853516
DEBUG:root:Epoch: 32	Loss: 3.225409746170044	Top1 accuracy: 91.748046875
DEBUG:root:Epoch: 33	Loss: 3.2360620498657227	Top1 accuracy: 92.21028137207031
DEBUG:root:Epoch: 34	Loss: 3.1991732120513916	Top1 accuracy: 92.958984375
DEBUG:root:Epoch: 35	Loss: 3.2061667442321777	Top1 accuracy: 92.38606262207031
DEBUG:root:Epoch: 36	Loss: 3.193998098373413	Top1 accuracy: 92.80598449707031
DEBUG:root:Epoch: 37	Loss: 3.196549415588379	Top1 accuracy: 93.49609375
DEBUG:root:Epoch: 38	Loss: 3.167959690093994	Top1 accuracy: 93.51236724853516
DEBUG:root:Epoch: 39	Loss: 3.1188912391662598	Top1 accuracy: 94.53450012207031
DEBUG:root:Epoch: 40	Loss: 3.1904666423797607	Top1 accuracy: 92.763671875
DEBUG:root:Epoch: 41	Loss: 3.1574482917785645	Top1 accuracy: 94.06575012207031
DEBUG:root:Epoch: 42	Loss: 3.173806667327881	Top1 accuracy: 93.78580474853516
DEBUG:root:Epoch: 43	Loss: 3.172921895980835	Top1 accuracy: 93.955078125
DEBUG:root:Epoch: 44	Loss: 3.172386407852173	Top1 accuracy: 93.32682037353516
DEBUG:root:Epoch: 45	Loss: 3.1532721519470215	Top1 accuracy: 94.11783599853516
DEBUG:root:Epoch: 46	Loss: 3.1188642978668213	Top1 accuracy: 94.36848449707031
DEBUG:root:Epoch: 47	Loss: 3.1517691612243652	Top1 accuracy: 93.91926574707031
DEBUG:root:Epoch: 48	Loss: 3.1142091751098633	Top1 accuracy: 94.44986724853516
DEBUG:root:Epoch: 49	Loss: 3.1258227825164795	Top1 accuracy: 94.31640625
DEBUG:root:Epoch: 50	Loss: 3.115689277648926	Top1 accuracy: 94.48567199707031
DEBUG:root:Epoch: 51	Loss: 3.114764928817749	Top1 accuracy: 94.67121887207031
DEBUG:root:Epoch: 52	Loss: 3.1112027168273926	Top1 accuracy: 94.72330474853516
DEBUG:root:Epoch: 53	Loss: 3.0979957580566406	Top1 accuracy: 95.05533599853516
DEBUG:root:Epoch: 54	Loss: 3.113847494125366	Top1 accuracy: 94.82746887207031
DEBUG:root:Epoch: 55	Loss: 3.0980377197265625	Top1 accuracy: 95.27668762207031
DEBUG:root:Epoch: 56	Loss: 3.1026687622070312	Top1 accuracy: 94.97721099853516
DEBUG:root:Epoch: 57	Loss: 3.0799801349639893	Top1 accuracy: 95.263671875
DEBUG:root:Epoch: 58	Loss: 3.095916748046875	Top1 accuracy: 94.95767974853516
DEBUG:root:Epoch: 59	Loss: 3.0964789390563965	Top1 accuracy: 95.07486724853516
DEBUG:root:Epoch: 60	Loss: 3.0881714820861816	Top1 accuracy: 95.27994537353516
DEBUG:root:Epoch: 61	Loss: 3.089294910430908	Top1 accuracy: 94.98697662353516
DEBUG:root:Epoch: 62	Loss: 3.09631609916687	Top1 accuracy: 95.419921875
DEBUG:root:Epoch: 63	Loss: 3.0740997791290283	Top1 accuracy: 95.19205474853516
DEBUG:root:Epoch: 64	Loss: 3.061561346054077	Top1 accuracy: 95.478515625
DEBUG:root:Epoch: 65	Loss: 3.0878255367279053	Top1 accuracy: 95.48176574707031
DEBUG:root:Epoch: 66	Loss: 3.088104486465454	Top1 accuracy: 95.22135162353516
