INFO:root:Start SimCLR training for 200 epochs.
INFO:root:kmer_len:	136

DEBUG:root:Epoch: 0	Loss: 6.477253437042236	Top1 accuracy: 2.2493488788604736
DEBUG:root:Epoch: 1	Loss: 5.727540493011475	Top1 accuracy: 8.388671875
DEBUG:root:Epoch: 2	Loss: 5.20479679107666	Top1 accuracy: 25.986328125
DEBUG:root:Epoch: 3	Loss: 4.696258068084717	Top1 accuracy: 47.5390625
DEBUG:root:Epoch: 4	Loss: 4.463703632354736	Top1 accuracy: 53.59375
DEBUG:root:Epoch: 5	Loss: 4.220169544219971	Top1 accuracy: 67.24283599853516
DEBUG:root:Epoch: 6	Loss: 4.004124164581299	Top1 accuracy: 74.501953125
DEBUG:root:Epoch: 7	Loss: 3.8775317668914795	Top1 accuracy: 77.29166412353516
DEBUG:root:Epoch: 8	Loss: 3.808293581008911	Top1 accuracy: 78.75325012207031
DEBUG:root:Epoch: 9	Loss: 3.7022337913513184	Top1 accuracy: 81.70246887207031
DEBUG:root:Epoch: 10	Loss: 3.6085047721862793	Top1 accuracy: 84.99348449707031
DEBUG:root:Epoch: 11	Loss: 3.579885959625244	Top1 accuracy: 84.75260162353516
DEBUG:root:Epoch: 12	Loss: 3.544285774230957	Top1 accuracy: 84.94791412353516
DEBUG:root:Epoch: 13	Loss: 3.477752685546875	Top1 accuracy: 87.86783599853516
DEBUG:root:Epoch: 14	Loss: 3.4777867794036865	Top1 accuracy: 87.47395324707031
DEBUG:root:Epoch: 15	Loss: 3.3944947719573975	Top1 accuracy: 89.23502349853516
DEBUG:root:Epoch: 16	Loss: 3.407700300216675	Top1 accuracy: 88.37239074707031
DEBUG:root:Epoch: 17	Loss: 3.3506078720092773	Top1 accuracy: 89.384765625
DEBUG:root:Epoch: 18	Loss: 3.3560147285461426	Top1 accuracy: 89.59309387207031
DEBUG:root:Epoch: 19	Loss: 3.328887462615967	Top1 accuracy: 90.44596099853516
