timestamp	pids	cpu_pct	rss_gb	system_mem_mb
2026-09-25T02:17:20+00:00	1412622	0.0	0.012	1860
2026-09-25T02:17:50+00:00	1412622,1412625,1412644,1412712	81.4	0.808	2236
2026-09-25T02:18:20+00:00	1412622,1412625,1412644,1412712	104.1	0.809	2209
2026-09-25T02:18:50+00:00	1412622,1412625,1412644,1412712	107.3	0.809	2239
2026-09-25T02:19:20+00:00	1412622,1412625,1412644,1412712	100.9	0.809	2194
2026-09-25T02:19:50+00:00	1412622,1412625,1412644,1412712	100.3	0.809	2163
2026-09-25T02:20:20+00:00	1412622,1412625,1412644,1412712	97.9	0.809	2189
2026-09-25T02:20:50+00:00	1412622,1412625,1412644,1412712	97.4	0.809	2163
2026-09-25T02:21:20+00:00	1412622,1412625,1412644,1412712	96.0	0.809	2147
2026-09-25T02:21:50+00:00	1412622,1412625,1412644,1412712	93.9	0.809	2154
2026-09-25T02:22:20+00:00	1412622,1412625,1412644,1412712	93.9	0.809	2154
2026-09-25T02:22:50+00:00	1412622,1412625,1412644,1412712	93.9	0.809	2180
2026-09-25T02:23:20+00:00	1412622,1412625,1412644,1412712	92.4	0.809	2230
2026-09-25T02:23:50+00:00	1412622,1412625,1412644,1412712	91.6	0.809	2166
2026-09-25T02:24:20+00:00	1412622,1412625,1412644,1412712	91.6	0.809	2184
2026-09-25T02:24:50+00:00	1412622,1412625,1412644,1412712	91.5	0.809	2171
2026-09-25T02:25:20+00:00	1412622,1412625,1412644,1412712	91.5	0.809	2165
2026-09-25T02:25:50+00:00	1412622,1412625,1412644,1412712	91.3	0.809	2152
2026-09-25T02:26:20+00:00	1412622,1412625,1412644,1412712	91.3	0.809	2170
2026-09-25T02:26:50+00:00	1412622,1412625,1412644,1412712	91.2	0.809	2167
2026-09-25T02:27:20+00:00	1412622,1412625,1412644,1412712	91.6	0.809	2157
2026-09-25T02:27:50+00:00	1412622,1412625,1412644,1412712	91.9	0.809	2161
2026-09-25T02:28:21+00:00	1412622,1412625,1412644,1412712	92.3	0.809	2178
2026-09-25T02:28:51+00:00	1412622,1412625,1412644,1412712	92.4	0.810	2159
2026-09-25T02:29:21+00:00	1412622,1412625,1412644,1412712	92.6	0.810	2224
2026-09-25T02:29:51+00:00	1412622,1412625,1417681,1417746,1417778,1417810,1417842	2136.9	4.080	4781
2026-09-25T02:30:21+00:00	1412622,1412625,1417681,1418609,1418641,1418673,1418705	2793.0	10.194	6836
2026-09-25T02:30:51+00:00	1412622,1412625,1417681,1418850,1418882,1418914,1418946	2880.1	8.840	6496
2026-09-25T02:31:21+00:00	1412622,1412625,1417681,1419276,1419308,1419340,1419372	2923.8	7.191	4545
2026-09-25T02:31:51+00:00	1412622,1412625,1417681,1419428,1419460,1419492,1419524	2948.9	8.944	6755
2026-09-25T02:32:21+00:00	1412622,1412625,1417681,1420263,1420295,1420327,1420359	2963.0	9.323	6932
2026-09-25T02:32:51+00:00	1412622,1412625,1417681,1420636,1420668,1420700	3040.1	5.711	3402
2026-09-25T02:33:21+00:00	1412622,1412625,1417681,1421091,1421123,1421155,1421187	2980.3	8.939	6576
2026-09-25T02:33:51+00:00	1412622,1412625,1417681,1421466,1421498,1421530,1421562	2987.4	9.486	6624
2026-09-25T02:34:21+00:00	1412622,1412625,1417681,1421974,1422006,1422038,1422070	2986.0	7.831	5313
2026-09-25T02:34:51+00:00	1412622,1412625,1417681,1422455,1422487,1422519,1422551	2992.1	7.534	5031
2026-09-25T02:35:21+00:00	1412622,1412625,1417681,1422644,1422676,1422708,1422740	2992.9	9.925	7833
2026-09-25T02:35:51+00:00	1412622,1412625,1417681,1423018,1423050,1423082,1423114	2996.7	8.352	5899
2026-09-25T02:36:22+00:00	1412622,1412625,1417681	2996.0	1.527	3434
2026-09-25T02:36:52+00:00	1412622,1412625,1417681,1424003,1424035,1424067,1424099	2999.4	7.912	5426
2026-09-25T02:37:22+00:00	1412622,1412625,1417681,1424454,1424486,1424518,1424550	3006.1	9.290	6659
2026-09-25T02:37:52+00:00	1412622,1412625,1417681,1424608,1424640,1424672,1424704	3002.9	8.094	5594
2026-09-25T02:38:22+00:00	1412622,1412625,1417681,1425337,1425369,1425401,1425433	3006.2	7.486	4853
2026-09-25T02:38:52+00:00	1412622,1412625,1417681,1425594,1425626,1425658,1425690	3004.9	8.717	6118
2026-09-25T02:39:22+00:00	1412622,1412625,1417681,1425968,1426000,1426032,1426064	3007.0	7.815	5354
