bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,100.0,0.45,5287944,1,5287944,100.0,0.0
1,100.0,0.2,4887363,1,4887363,100.0,0.0
2,100.0,0.03,4490357,1,4490357,99.53051643192488,0.0
3,100.0,0.71,4351887,1,4351887,100.0,0.07662835249042145
4,99.94,0.09,4133738,1,4133738,100.0,0.0
5,99.9,0.48,4108453,1,4108453,100.0,0.4672897196261682
6,99.9,0.47,4106374,1,4106374,100.0,0.4672897196261682
7,99.9,0.48,4105324,1,4105324,100.0,0.4672897196261682
8,99.67,0.03,4043811,1,4043811,100.0,0.0
9,99.99,1.13,3863446,1,3863446,99.3103448275862,0.0
10,99.99,1.47,3824858,1,3824858,98.38709677419355,0.0
11,99.99,1.31,3794128,1,3794128,98.38709677419355,0.0
12,99.99,0.01,3750766,1,3750766,99.77477477477477,0.0
13,99.99,0.33,3611882,1,3611882,99.19354838709677,0.0
14,100.0,0.41,3592119,1,3592119,99.44142512077295,0.24154589371980675
15,42.09,0.88,3242188,9,424203,32.758620689655174,0.0
16,64.7,0.39,3085774,1,3085774,68.69158878504673,0.0
17,71.52,1.05,3073897,1,3073897,75.23364485981308,0.4672897196261682
18,58.32,0.78,2642796,1,2642796,62.149532710280376,0.4672897196261682
19,99.94,0.12,3773028,3,2554355,99.40828402366864,0.0
20,65.56,29.73,2300899,62,55217,53.44827586206897,27.586206896551722
21,99.94,1.01,1967075,1,1967075,100.0,0.0
22,41.46,0.13,1855069,1,1855069,50.93457943925234,0.0
23,62.96,0.27,2272928,133,21421,55.19713261648745,0.0
24,45.81,0.57,2266642,1,2266642,48.275862068965516,0.0
25,85.46,0.32,2132891,84,30508,89.27599346761023,0.0
26,28.48,0.03,1038362,1,1038362,31.30841121495327,0.0
27,24.71,0.0,1029341,1,1029341,24.766355140186917,0.0
28,16.68,14.64,1597966,2,802966,0.0,0.0
29,19.46,3.53,1494012,86,21438,0.0,0.0
30,32.97,0.11,1464728,1,1464728,29.310344827586206,0.0
31,34.01,2.61,1438083,235,5912,25.313479623824453,6.896551724137931
32,18.25,5.91,1236392,68,23357,20.689655172413794,8.620689655172415
33,100.0,0.15,3781457,2,3131667,100.0,0.0
34,25.54,0.13,1075490,178,5892,11.442006269592476,1.7241379310344827
35,100.0,0.69,2974349,4,905457,97.9020979020979,2.097902097902098
36,10.02,13.77,1030049,36,58782,10.344827586206897,17.24137931034483
37,52.88,9.03,1018563,169,5789,48.495617682809794,11.509891312846976
38,11.33,13.52,1015945,81,16377,0.0,0.0
39,21.37,2.64,913783,140,5864,19.82758620689655,3.4482758620689653
40,2.96,15.75,884431,43,39896,15.517241379310345,29.388714733542322
41,24.47,6.17,879811,41,28019,25.862068965517242,13.793103448275861
42,5.3,24.63,863129,59,23664,4.166666666666667,16.666666666666668
43,17.35,0.02,862508,3,319332,20.689655172413794,0.0
44,3.22,10.57,860495,61,22486,5.172413793103448,0.0
45,14.88,0.0,849809,1,849809,12.068965517241379,0.0
46,5.68,9.59,846348,66,16931,4.166666666666667,16.666666666666668
47,13.29,0.01,697766,5,194639,16.261682242990652,0.0
48,6.99,12.8,838238,72,14375,0.0,0.0
49,13.9,0.03,828326,132,6044,15.517241379310345,0.0
50,6.74,13.96,820958,60,18571,0.0,0.0
51,4.3,16.57,816390,52,28354,0.0,0.0
52,11.4,2.46,778232,37,25492,0.0,0.0
53,6.17,6.19,743523,53,21126,4.166666666666667,20.833333333333332
54,9.82,7.62,734108,51,20659,0.0,0.0
55,10.82,1.34,723653,32,31734,4.166666666666667,0.0
56,8.36,11.12,668818,44,18910,20.833333333333332,33.333333333333336
57,39.11,10.25,1546329,24,243719,29.39189189189189,6.5540540540540535
58,6.27,13.24,651614,36,27997,10.344827586206897,16.379310344827587
59,7.38,2.94,630606,49,18541,0.0,0.0
60,1.16,14.69,625935,42,26338,0.0,0.0
61,8.16,3.63,619752,30,32243,8.333333333333334,4.166666666666667
62,4.24,8.78,597695,45,22840,0.0,0.0
63,10.48,4.16,593773,36,38341,0.0,0.0
64,6.44,10.68,581142,33,26809,4.166666666666667,25.0
65,11.79,9.85,575464,24,27932,8.620689655172415,3.4482758620689653
66,11.72,0.01,551287,2,411943,0.0,0.0
67,9.45,9.27,550020,28,36959,1.7241379310344827,0.0
68,16.71,0.03,539702,16,37356,3.508771929824561,0.0
69,6.98,8.16,527325,19,54565,0.0,0.0
70,6.22,10.34,503200,35,20312,0.0,0.0
71,5.37,4.14,495244,39,15531,0.0,0.0
72,6.96,8.7,490465,24,29393,4.166666666666667,12.5
73,6.97,0.89,487197,27,44770,4.166666666666667,12.5
74,5.13,16.1,485539,31,22692,4.166666666666667,14.583333333333334
75,9.44,0.36,472124,21,32777,4.166666666666667,0.0
76,9.12,9.81,453955,33,17968,4.166666666666667,4.166666666666667
77,8.37,1.01,450211,20,27556,0.0,0.0
78,8.55,12.21,449661,34,22890,4.166666666666667,8.333333333333334
79,12.55,0.01,438090,6,114740,8.620689655172415,0.0
80,7.92,5.46,566786,33,42301,6.168224299065421,1.9314641744548282
81,4.8,2.29,435264,24,39114,0.0,0.0
82,6.88,2.13,409274,24,25900,0.0,0.0
83,5.96,7.67,372978,28,20616,0.0,0.0
84,5.67,9.02,367971,30,16560,0.0,0.0
85,8.97,0.41,326278,13,31163,0.0,0.0
86,4.37,3.85,312840,16,27002,0.0,0.0
87,5.43,8.59,308521,21,21718,8.333333333333334,41.666666666666664
88,4.86,0.87,293102,10,67669,0.0,0.0
