26	Improve logging	2026-09-26T15:03:07Z
25	Improve optimization	2026-09-26T12:31:03Z
24	Main readme needs cleaning	2026-09-26T12:31:09Z
23	Where does the assembly for cami3 come from	2026-09-26T12:31:12Z
22	is there a summary table for all runs	2026-09-26T12:31:21Z
21	use a seed for all runs	2026-09-26T12:31:26Z
20	what are your ideas for further optimization ?	2026-09-26T12:31:32Z
19	better plots	2026-09-26T12:31:40Z
6	Optimization	2026-09-26T07:56:10Z
1	Idea inbox: benchmark ideas, COMEBin fixes, dataset requests	2026-09-23T14:53:13Z
