bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,99.97,0.46,6745928,1,6745928,99.51456310679612,0.10787486515641855
1,100.0,3.91,6247033,1,6247033,99.36305732484077,0.0
2,99.97,0.24,6031380,1,6031380,99.13700107874865,1.6181229773462784
3,100.0,0.16,5702623,1,5702623,100.0,0.7647156084656085
4,100.0,0.27,5486908,1,5486908,100.0,0.11160714285714286
5,100.0,0.13,5322646,1,5322646,99.85119047619048,0.019841269841269844
6,100.0,0.3,5254422,1,5254422,99.62385175799811,1.019163763066202
7,100.0,0.26,4978154,1,4978154,100.0,0.07352941176470588
8,100.0,0.27,4933540,1,4933540,100.0,0.36764705882352944
9,100.0,0.12,4915566,1,4915566,99.66931216931218,0.03720238095238095
10,100.0,0.24,4735669,1,4735669,99.66931216931218,0.390625
11,100.0,0.19,4723238,1,4723238,100.0,0.03676470588235294
12,99.97,0.07,3649937,1,3649937,99.36708860759494,0.0
13,98.34,1.81,3606297,1,3606297,98.29931972789116,0.0
14,100.0,1.38,3590718,1,3590718,99.32885906040268,4.026845637583893
15,100.0,2.07,3588820,1,3588820,99.30788590604027,4.026845637583893
16,99.93,0.35,3320456,1,3320456,98.65771812080537,0.0
17,99.99,0.15,3316580,1,3316580,99.41520467836257,0.0
18,99.97,2.58,3312277,1,3312277,98.24561403508773,0.9746588693957114
19,99.99,1.25,3284788,1,3284788,99.32885906040268,4.026845637583893
20,98.65,2.51,3228725,1,3228725,97.98657718120805,0.33557046979865773
21,99.99,1.0,3172601,1,3172601,99.32885906040268,1.342281879194631
22,99.79,5.34,4362030,4,3169051,100.0,0.0
23,99.52,0.55,3065878,1,3065878,100.0,0.0
24,99.52,0.55,3063690,1,3063690,100.0,0.0
25,99.98,0.86,2979783,1,2979783,99.41520467836257,0.0
26,98.18,0.89,2955375,1,2955375,100.0,0.0
27,99.62,0.17,2884779,1,2884779,100.0,0.0
28,99.78,0.3,2857422,1,2857422,100.0,0.0
29,99.99,10.58,3070001,3,2804088,99.32885906040268,8.053691275167786
30,99.99,0.17,2770538,1,2770538,98.38709677419355,0.8064516129032258
31,99.99,0.17,2770501,1,2770501,98.38709677419355,0.8064516129032258
32,99.75,0.28,2763831,1,2763831,96.3718820861678,0.0
33,92.84,0.04,2728625,1,2728625,97.58454106280193,0.0
34,100.0,0.08,2522564,1,2522564,100.0,0.6329113924050633
35,54.55,85.4,9457486,35,374978,70.6896551724138,267.2413793103448
36,99.99,0.02,2389740,1,2389740,100.0,0.0
37,99.74,1.19,2375994,1,2375994,98.65771812080537,0.33557046979865773
38,100.0,0.04,2345868,1,2345868,100.0,0.5988023952095808
39,99.99,0.08,2305307,1,2305307,100.0,0.0
40,0.03,8.51,6848626,16,743301,31.30841121495327,1.8691588785046729
41,99.99,0.04,2045976,1,2045976,100.0,0.0
42,0.01,3.69,6676406,24,317092,18.416007668344115,1.2461059190031152
43,0.02,9.31,6527485,53,116151,17.457464653726333,4.02588066139468
44,100.0,2.17,4739593,5,1508965,99.66483534158694,1.563163481953291
45,0.01,8.43,6344193,53,120763,21.37550922597652,0.4672897196261682
46,55.44,42.82,6182153,19,552535,41.37931034482759,65.51724137931035
47,84.39,38.37,6057579,31,235762,82.75862068965517,58.62068965517241
48,46.44,47.1,5978925,33,184654,20.833333333333332,75.0
49,18.36,80.23,5962484,47,120564,50.0,184.48275862068965
50,0.17,6.56,5552086,13,848407,15.198897675533187,1.8332135154565061
51,13.03,11.83,5368060,17,407785,6.60377358490566,0.0
52,33.82,25.51,5301241,55,93603,0.0,0.0
53,0.6,11.6,5263967,5,1574224,7.41073568176372,0.7548526240115025
54,63.98,53.91,5148404,28,208237,50.943396226415096,61.320754716981135
55,84.72,46.66,8210946,18,689036,97.3529411764706,71.50735294117646
56,61.11,36.33,5097662,33,166035,53.44827586206897,25.862068965517242
57,0.03,50.14,5068713,15,480225,12.658227848101266,87.18354430379746
58,0.02,9.14,4989075,33,157561,17.391564821471363,2.6479750778816196
59,50.47,15.73,4930997,29,308805,0.0,0.0
60,35.07,28.77,4803235,21,272719,0.0,0.0
61,0.78,8.03,4756053,6,948817,16.27725856697819,1.8691588785046729
62,0.04,3.86,4730353,25,193292,11.718188353702372,0.0
63,11.17,43.94,4705223,32,200750,12.5,58.333333333333336
64,76.8,3.38,4699428,33,147126,53.44827586206897,3.4482758620689653
65,0.0,19.76,4656651,21,247535,0.0,0.0
66,0.61,7.26,4396665,10,568659,13.140020898641588,0.0
67,87.76,55.61,4348830,24,202130,82.60188087774294,62.06896551724138
68,0.01,7.71,4310929,8,959979,4.952978056426333,0.8620689655172413
69,67.91,33.09,4246835,22,265738,60.3448275862069,29.310344827586206
70,0.56,6.96,4081317,4,1167030,6.232132647226986,0.8004574042309891
71,35.82,0.91,1157226,1,1157226,29.239766081871345,0.0
72,21.39,29.33,4236684,28,167643,24.137931034482758,50.0
73,48.81,38.88,4181948,24,203303,37.5,37.5
74,0.05,4.57,4136571,5,1245160,9.034267912772584,1.4018691588785046
75,1.49,49.5,4133953,23,191084,8.333333333333334,79.16666666666667
76,60.68,56.38,4128336,24,235223,33.333333333333336,62.5
77,67.1,35.03,4122344,34,124353,56.89655172413793,31.896551724137932
78,69.27,54.28,4117656,31,120336,71.9298245614035,61.40350877192982
79,65.44,0.38,3850459,28,142058,51.724137931034484,0.0
80,0.27,13.6,3845914,11,507499,10.563973063973064,10.563973063973064
81,49.06,26.75,3835441,23,162649,46.55172413793103,31.03448275862069
82,22.21,32.77,3760071,18,303208,12.5,37.5
83,80.5,58.53,2563000,8,681390,93.10344827586206,58.62068965517241
84,2.28,34.95,3758150,12,423973,8.333333333333334,58.333333333333336
85,1.31,4.57,3685542,11,625038,6.687565308254963,0.0
86,0.62,3.92,3649949,8,405159,12.461059190031152,1.8691588785046729
87,19.41,12.27,3599673,14,378435,0.0,0.0
88,88.13,1.21,3585607,17,239869,79.3103448275862,0.0
89,43.53,32.78,3542458,13,388948,31.57894736842105,24.56140350877193
90,0.05,18.0,3453015,8,811964,6.6738557392763,2.803738317757009
91,21.61,35.2,3399301,33,85372,0.0,0.0
92,33.28,20.4,3270950,13,291958,30.384615384615383,15.76923076923077
93,9.95,28.7,3246689,16,204753,22.80701754385965,21.05263157894737
94,1.45,5.08,3187175,10,330957,7.368799424874191,0.0
95,3.19,3.72,3170631,4,956474,2.4555903866248694,0.0
96,13.44,6.06,3155227,10,348081,0.0,0.0
97,45.41,18.8,3151050,19,224328,0.0,0.0
98,75.73,0.79,3089020,21,192560,68.96551724137932,0.0
99,13.13,49.34,3088717,18,191982,20.833333333333332,62.5
100,0.98,28.61,3070962,16,193233,25.0,191.66666666666666
101,0.96,8.14,3066674,8,567886,6.386292834890965,0.4672897196261682
102,20.54,26.93,3025042,12,288274,16.666666666666668,33.333333333333336
103,33.51,30.12,2973281,20,138879,16.666666666666668,50.0
104,84.33,0.7,2963739,11,383913,75.86206896551724,0.0
105,5.68,3.79,2948620,6,453659,13.179966450994488,0.0
106,0.08,18.01,2936183,5,662158,6.770833333333333,6.770833333333333
107,3.19,9.14,2912553,6,583130,4.984423676012461,0.0
108,0.0,8.54,2870378,6,852240,6.829618979151689,4.960460100647016
109,81.97,0.31,2852967,17,189473,82.43243243243244,1.1824324324324325
110,24.11,28.33,2836507,14,272939,12.5,33.333333333333336
111,99.84,2.13,4785079,11,654429,99.46236559139786,0.0
112,5.89,4.15,2629602,5,889962,9.944883776659477,0.0
113,0.07,9.8,2828453,4,730085,5.342902711323764,4.4657097288676235
114,28.33,24.75,2805441,12,311938,20.833333333333332,25.0
115,25.51,28.96,2797823,12,282718,12.068965517241379,18.96551724137931
116,18.22,21.94,2775468,14,235248,5.172413793103448,3.4482758620689653
117,80.43,0.38,2785600,11,288011,89.87341772151899,0.6329113924050633
