bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,13.88,4.34,316840,156,2293,11.320754716981131,0.0
156,7.88,0.02,255546,192,1300,3.4482758620689653,0.0
348,38.97,4.58,469648,261,1777,25.870051085568324,3.579980842911877
609,9.08,0.27,263830,166,1571,6.896551724137931,1.7241379310344827
775,31.74,2.29,808713,531,1498,29.0301998935775,0.95679012345679
1306,73.97,2.42,1088953,429,2866,70.64599802371542,3.8345410628019323
1735,9.43,0.79,533647,285,1866,0.0,0.0
2020,86.11,5.26,1227197,276,7005,83.82838283828383,1.6501650165016502
2296,15.88,0.03,727185,529,1315,16.144200626959247,0.0
2825,89.73,4.11,2270364,504,6310,94.01709401709402,6.837606837606837
3329,55.62,11.18,747761,266,3391,50.15540015540015,8.88888888888889
3595,7.76,0.0,239176,141,1673,0.0,0.0
3736,47.38,10.01,1089445,784,1357,47.9852876592007,12.788208168642951
4520,39.27,9.29,794793,348,2485,33.0188679245283,17.92452830188679
4868,6.16,0.01,236177,165,1405,0.0,0.0
5033,21.16,0.73,341084,256,1283,0.0,0.0
5289,29.81,4.31,512327,332,1534,21.033197831978317,5.030487804878049
5621,76.38,0.72,1333914,494,3408,71.84885290148446,2.0842105263157897
6115,34.17,5.93,469975,211,2592,24.528301886792452,0.9433962264150944
6326,9.04,0.01,340626,263,1242,5.172413793103448,0.0
6589,48.77,3.63,1739782,941,1913,54.05856918633643,3.317901234567901
7530,10.21,5.15,659150,362,1713,0.0,0.0
7892,52.54,0.46,1213355,646,1952,52.90958164642375,0.5036437246963563
8538,12.33,0.14,334531,261,1214,10.34080298786181,0.0
8799,37.67,3.18,670405,338,2119,34.905660377358494,4.716981132075472
9137,25.59,6.59,608252,388,1494,8.333333333333334,0.0
9525,8.28,0.08,220066,162,1310,4.166666666666667,0.0
9687,36.29,2.63,754602,542,1352,31.205721997300945,4.826666666666667
10229,8.36,0.01,233162,191,1193,6.269592476489028,0.0
10420,13.8,0.17,308569,205,1536,9.09090909090909,0.0
10625,20.17,0.85,686434,424,1598,27.408798920377862,0.8
11049,55.82,5.61,1031081,510,2072,63.934178743961354,4.512516469038208
11559,6.93,0.16,402210,270,1434,0.0,0.0
11829,31.25,6.75,601720,192,3990,31.896551724137932,15.909090909090908
12021,16.5,0.56,510026,386,1270,19.388896569203474,0.05875440658049354
12407,27.0,0.84,1076255,595,1814,21.551724137931036,0.0
13002,7.45,0.0,288799,237,1167,2.5078369905956115,0.0
13239,3.96,0.01,247527,168,1472,0.0,0.0
13407,4.6,0.0,201735,137,1372,0.0,0.0
13544,45.5,14.34,733972,315,2493,47.16981132075472,16.9811320754717
13859,10.75,0.1,523529,334,1506,20.156739811912228,0.0
14193,10.13,0.21,314453,182,1703,4.166666666666667,0.0
14375,49.08,13.68,757621,394,1956,55.940438871473354,30.17241379310345
14769,11.72,4.05,205230,131,1622,8.796296296296296,4.62962962962963
14900,14.71,0.11,432185,322,1296,4.166666666666667,4.166666666666667
15222,9.59,0.01,214007,176,1201,6.074766355140187,0.9345794392523364
15398,10.73,4.91,673340,256,3470,0.0,0.0
15654,14.41,6.01,313496,169,2023,6.003430531732419,0.0
15823,11.08,0.5,270297,160,1659,0.0,0.0
15983,12.99,0.29,218164,140,1505,13.150470219435737,0.1724137931034483
16123,13.13,0.0,351508,277,1235,14.404388714733543,0.0
16400,16.5,8.6,221177,156,1291,18.42195540308748,1.8867924528301887
16556,12.47,1.73,486873,245,2107,0.07189072609633357,0.0
16801,50.66,2.68,653572,241,3549,51.933124346917445,4.597701149425287
17042,5.86,0.03,318021,79,22553,0.0,0.0
17121,24.09,0.71,233232,160,1386,0.0,0.0
17281,7.97,6.25,239123,164,1376,19.982847341337905,18.867924528301888
17445,11.12,0.1,679836,445,1519,15.67398119122257,0.0
17890,17.55,10.11,233581,128,1865,15.003501400560223,20.58823529411765
18018,9.43,1.23,273836,139,2159,0.0,0.0
