bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,79.51,2.95,1915078,300,7405,85.12820512820512,0.8547008547008547
1,52.36,24.13,1519096,350,4395,61.606050701491135,40.67930489731437
2,51.0,12.35,1223693,311,3671,53.929738562091494,12.184873949579831
3,10.64,6.49,938481,159,7247,0.0,0.0
4,48.05,0.03,847903,176,5122,54.83692307692307,0.0
5,18.06,0.41,810017,214,3541,4.166666666666667,0.0
6,36.43,8.02,732664,161,4526,41.37931034482759,26.290491118077327
7,17.73,0.51,534925,153,3373,14.125787710544193,0.7407407407407407
8,14.16,0.83,437439,104,4138,0.0,0.0
9,24.43,1.71,383481,93,3932,4.166666666666667,0.0
10,10.94,0.0,356427,101,3427,12.77258566978193,0.0
11,7.02,0.2,204165,63,2919,1.7241379310344827,0.0
16,80.72,1.2,1087017,166,7818,78.87788778877888,0.9900990099009901
61,51.9,12.1,798764,171,4937,49.557109557109555,13.817663817663817
137,44.36,1.18,711742,174,4127,48.5836627140975,0.8454106280193238
1262,27.52,2.58,446913,101,4473,30.41419631093544,0.06175889328063241
