bin_id,completeness,contamination,genome_size,coding_sequences,total_contigs,contig_n50,gc_content,max_contig_length
0,79.51,2.95,1915078,2143,300,7405,0.52,36740
1,52.36,24.13,1519096,1822,350,4395,0.31,15878
10,10.94,0.0,356427,365,101,3427,0.49,6124
11,7.02,0.2,204165,185,63,2919,0.39,8968
1262,27.52,2.58,446913,615,101,4473,0.31,15360
137,44.36,1.18,711742,859,174,4127,0.36,16496
16,80.72,1.2,1087017,1185,166,7818,0.31,26745
2,51.0,12.35,1223693,1425,311,3671,0.34,18923
3,10.64,6.49,938481,1253,159,7247,0.37,64794
4,48.05,0.03,847903,841,176,5122,0.51,16749
5,18.06,0.41,810017,894,214,3541,0.44,20312
6,36.43,8.02,732664,895,161,4526,0.34,26977
61,51.9,12.1,798764,933,171,4937,0.33,17871
7,17.73,0.51,534925,597,153,3373,0.53,7842
8,14.16,0.83,437439,596,104,4138,0.37,15643
9,24.43,1.71,383481,460,93,3932,0.35,18290
