bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,57.7,3.71,1820005,1000,1861,56.40321074666426,2.9693173565722586
1,34.41,2.13,1433458,812,1781,30.3448275862069,1.7241379310344827
2,88.56,3.24,1248236,257,7456,85.8085808580858,1.6501650165016502
3,20.05,10.14,986836,491,2179,1.3636363636363638,0.0
4,35.18,4.11,985157,656,1477,32.256173676161026,2.8304284676833693
5,12.01,12.67,896568,490,1784,3.0564263322884013,0.0
6,31.73,1.69,885593,681,1258,26.786249164765785,1.584986521047902
7,16.55,0.03,759905,558,1305,17.868338557993727,0.15673981191222572
8,36.4,12.95,749790,472,1541,9.375,4.166666666666667
9,17.31,0.12,718374,456,1528,23.605015673981192,1.7241379310344827
10,36.55,2.54,706988,506,1364,32.146072874493925,5.093333333333334
11,19.97,0.84,702395,435,1594,27.408798920377862,0.8
12,29.09,23.13,686829,361,2044,11.663807890222984,3.7735849056603774
13,49.63,10.98,684678,214,4254,44.5998445998446,9.82905982905983
14,10.58,0.94,627071,421,1424,0.0,0.0
15,30.81,10.79,607239,179,4565,41.37931034482759,32.21003134796238
16,8.75,2.15,572769,127,9791,0.0,0.0
17,10.59,0.02,517338,401,1248,5.642633228840125,0.0
18,15.45,0.21,517100,392,1273,4.166666666666667,4.166666666666667
19,19.94,3.81,506656,299,1721,1.8867924528301887,0.0
20,29.93,4.76,465086,328,1332,23.197492163009404,5.329153605015674
21,13.52,0.72,458683,368,1201,19.984326018808776,0.15673981191222572
22,36.34,7.74,452829,256,1766,23.78908935139169,1.7457188371166865
23,18.66,1.22,428494,271,1589,13.636363636363637,1.7241379310344827
24,5.3,0.06,416167,281,1472,1.8691588785046729,0.0
25,19.04,0.69,408041,325,1203,25.157232704402514,0.9433962264150944
26,10.58,0.01,378139,297,1230,5.4858934169279,0.0
27,8.87,0.48,358432,253,1391,4.166666666666667,0.0
28,28.18,1.46,353656,237,1446,4.166666666666667,0.0
29,12.72,1.76,351426,253,1313,0.0,0.0
30,6.83,0.0,348635,239,1409,7.398119122257054,0.0
31,5.47,0.23,345974,239,1381,0.0,0.0
32,15.85,5.04,344467,238,1385,0.0,0.0
33,12.56,0.14,342227,267,1215,10.34080298786181,0.0
34,14.86,0.01,325627,255,1223,14.3859649122807,0.0
35,7.78,0.0,313493,258,1167,2.8996865203761755,0.0
36,11.01,0.0,296796,225,1285,0.6269592476489029,0.0
37,8.64,0.29,295491,205,1392,17.163009404388717,0.0
38,5.97,0.02,295265,212,1370,4.166666666666667,0.0
39,22.2,3.77,290515,218,1288,15.344827586206897,2.8996865203761755
40,12.18,0.03,264531,219,1186,7.0754716981132075,2.515723270440251
41,10.62,0.32,262338,197,1301,0.0,0.0
42,13.75,5.0,254797,154,1628,20.833333333333332,12.5
43,12.03,0.47,253843,202,1201,23.471557682084,1.9138755980861242
44,14.82,0.94,253214,183,1343,6.9226750261233025,0.8620689655172413
45,15.98,7.22,251635,154,1570,21.055381400208983,6.0344827586206895
46,8.7,0.09,239515,195,1202,6.269592476489028,0.0
47,13.07,0.43,237653,163,1379,17.92452830188679,1.8867924528301887
48,9.88,0.8,234617,123,2001,9.433962264150944,9.433962264150944
49,9.74,0.03,232587,151,1521,4.310344827586207,0.0
50,8.67,0.04,231633,193,1181,8.620689655172415,0.0
51,4.9,0.0,214878,142,1505,0.0,0.0
52,8.87,0.15,211517,125,1601,4.166666666666667,0.0
53,6.32,0.02,208807,165,1216,7.053291536050156,0.0
54,18.37,7.16,203331,138,1387,16.379310344827587,28.448275862068964
55,7.99,0.31,201910,130,1441,0.0,0.0
2187,49.86,6.39,593492,198,4232,57.21003134796238,6.896551724137931
2688,23.27,2.17,473425,226,2154,20.18867924528302,0.0
2890,21.28,4.84,458882,177,3242,24.528301886792452,11.320754716981131
5122,77.13,1.43,1391639,534,3308,71.84885290148446,2.8842105263157896
5819,90.51,4.12,2280005,507,6291,94.01709401709402,7.6923076923076925
6681,25.12,25.4,547357,337,1557,49.056603773584904,88.69068038879358
7309,66.04,10.23,1231749,624,2034,71.25741106719369,9.026405357927098
8565,10.68,8.43,279971,209,1310,26.758147512864497,20.754716981132077
8785,47.51,10.57,1126599,813,1354,47.9852876592007,13.603425559947299
9503,41.49,3.06,671475,363,1927,40.46251993620414,12.280701754385966
16058,53.04,0.45,1220126,650,1951,53.648043184885296,1.3036437246963561
20086,46.03,13.13,608461,252,2658,53.12178387650086,21.69811320754717
20525,19.8,0.13,403933,272,1479,11.206896551724139,0.0
20547,31.84,16.72,484625,291,1564,35.67753001715266,18.42195540308748
26528,75.81,3.8,1151911,466,2800,74.72208498023716,4.106280193236715
