bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
0,83.46,0.03,6795663,725,13166,77.58620689655173,0.0
1,73.71,2.03,5186683,1175,4894,79.00375939849624,1.5789473684210527
2,87.42,0.06,4773940,218,35376,91.0082304526749,1.8106995884773665
3,93.81,0.83,4684939,382,17339,95.53280651340997,1.6273442226255292
4,76.46,3.57,4684596,931,5858,52.58620689655172,0.8620689655172413
5,61.37,3.57,4638404,1264,3898,61.66640559732665,2.6106934001670843
6,96.48,1.04,4371006,73,98567,95.11784511784512,1.1784511784511784
7,87.8,1.24,4105649,323,18477,91.38661012235816,1.056758910460736
8,75.5,0.86,4002419,925,4820,76.01682778374507,1.5664160401002505
9,79.82,0.76,3980735,68,102157,77.00255102040816,0.6324011085915847
10,54.08,33.66,3842320,299,19368,6.0344827586206895,0.0
11,86.74,2.9,3837747,493,9937,88.15450643776822,1.959942775393419
12,81.87,1.63,3691398,737,5680,82.06819131161237,1.6369047619047619
13,86.59,2.45,3450929,357,13240,90.8928512017943,1.508053825126996
14,70.73,5.92,3266154,385,12169,73.95171122006475,4.023549310434556
15,59.57,8.02,3214640,918,3616,38.59649122807018,2.6315789473684212
16,54.19,18.79,3048354,1093,2696,44.905956112852664,7.523510971786833
17,75.77,3.19,2923536,468,7694,80.95292595610039,5.086580086580087
18,80.48,0.92,2762974,416,8681,84.39065233351974,1.0273186409550046
19,48.15,11.99,2667122,957,2723,38.43260188087774,18.96551724137931
20,49.81,12.4,2649647,894,2945,42.00626959247649,13.793103448275861
21,30.59,28.42,2549021,539,5106,18.96551724137931,15.517241379310345
22,65.98,20.34,2492769,734,3562,75.51724137931035,15.517241379310345
23,81.14,1.66,2321755,471,5782,79.19819819819818,0.7258687258687259
24,72.07,0.45,2175488,510,4734,75.51756885090218,0.0
25,48.89,6.59,2148820,774,2665,47.23979748063811,7.001691507921747
26,63.9,0.43,2046492,538,4072,65.5766859748296,0.0
27,47.72,1.38,1983624,626,3124,49.96865203761756,5.172413793103448
28,42.01,5.66,1924734,20,244405,0.0,0.0
29,31.83,2.02,1835381,610,2864,25.909843779408995,4.130434782608695
30,37.39,0.91,1732879,396,4903,4.166666666666667,0.0
31,90.02,10.37,1704236,298,7241,83.98058252427184,11.974110032362459
32,30.83,0.41,1611952,96,26539,0.0,0.0
33,45.94,6.93,1544700,534,2818,48.542319749216304,13.74085684430512
34,17.34,11.46,1472721,255,7041,0.0,0.0
35,24.83,0.61,1283770,115,15302,0.0,0.0
36,14.28,1.4,1265148,131,14419,0.0,0.0
37,25.46,0.07,1256402,20,72975,12.5,0.0
38,24.95,1.69,1193415,471,2432,18.337207860640998,2.623407217046793
39,47.05,3.8,1119482,395,2793,48.92278047680544,7.083922677982084
40,48.94,6.6,1114242,406,2710,47.791465234003546,9.192803088539264
41,32.22,2.97,1107717,416,2612,28.797000720077644,3.0571992110453645
